Name,Price,Discount,Category
Hikers 32'' Digital Frameless HD LED TV-Black,10999,42,Flash Sales
"Oraimo Smartwatch Lite  1.69'' TFT With Call & Message Reminder, 61 Sport Modes-Black",4500,0,Flash Sales
Wlisth ST003 Men Fashion Sport Quartz Business Watch,1120,44,Flash Sales
HOMMY 3 Column Portable Wardrobe-Brown,2299,49,Flash Sales
"XIAOMI Redmi A2 Plus, 6.52"" Display  3GB + 64GB 5000mAh (Dual SIM) -  Black",12589,7,Flash Sales
Dawn Pekee Poa Toilet Paper 10's Wrapped,195,0,Flash Sales
Fashion 2024 Mens Casual Board Shoes Running Sneakers - Black,998,33,Flash Sales
"HP Refurbished Elitebook 840  Core  I5, Slim Model ,  8GB RAM 500GB  HDD -14"", Black",20260,32,Flash Sales
Fashion 2024 Mens Casual High-Top Shoes Running Sneakers - Beige,1860,48,Flash Sales
Ballantine Ballantine Blended Scotch Whiskey - 1 Litre,2670,11,Flash Sales
Jameson Jameson Irish Whiskey - 750 Ml,2199,14,Flash Sales
Jameson Jameson Irish Whiskey - 1 Litre,2999,12,Flash Sales
"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) - (Jade) White.",12249,18,Flash Sales
"Vitron HTC3200S 32"" Smart Frameless Android LED TV",13462,25,Flash Sales
"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) - Jade White",12249,18,Flash Sales
Nunix SC-002 Table Top Double Burner Gas Stove Cooker,1965,0,Flash Sales
Epson EcoTank L3250 A4 WIRELESS Printer (All-in-One),33999,11,Flash Sales
Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver,17599,0,Flash Sales
Fashion Women's Shoes Sandals High Heels Lace Straps Casual Summer Sandals Princess Shoes,994,29,Flash Sales
"Hisense 32"" Inch (32A4H) VIDAA OS LED Frameless Smart TV - Black",16799,22,Flash Sales
"Vitron 4388-FS 43""inch FHD Frameless Smart/Android TV InbuiltDecoder/+TVGuard+Bracket",24440,19,Flash Sales
Fashion Baby Boy Sneakers Breathable Soft Sole Lighting Shoes - Grey,850,56,Flash Sales
"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) -  Ink Black (Night)",12249,18,Flash Sales
Annov 2  Slice Bread Toaster - 700W - White,849,0,Flash Sales
"Samsung Galaxy A14, 6.6"", 128GB + 4GB(Dual SIM), 5000 MAh, +CLASSY  GIFTS",26599,35,Flash Sales
"XIAOMI Redmi 12C, 6.71"", 4GB + 128GB, 50MP CAM, 5000mAh, Blue",17599,38,Flash Sales
Hikers KE-MOW20LD-Digital Microwave Oven – 20 Litres –700W- White,7699,45,Flash Sales
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",1000,4,Flash Sales
Fashion Women Shoes Sandals Ladies Shoes High Heels Outer Wear Slippers,1024,46,Flash Sales
"Samsung Galaxy A14, 6.6"", 64GB + 4GB, 50MP, Dual SIM, 5000mAh, Silver + Free Gifts",21099,41,Flash Sales
"Vitron 4068, 40"" Smart Android TV, Netflix, Youtube - Black",18195,2,Flash Sales
"XIAOMI Redmi 12C, 6.71"", 3GB + 64GB, 50MP CAM, 5000mAh, Grey",14460,1,Flash Sales
"XIAOMI Redmi 12C, 6.71'' ,3GB+64GB, 50MP, 5000mAh, 4G, Dual Sim - Graphite Grey",14499,19,Flash Sales
Itel S23 128GB + 4GB Android 12 +SMARTNETS 1,13399,33,Flash Sales
Hikers KE-MOW20LM-Microwave Oven – 20 Litres –700W- BLACK,7299,42,Flash Sales
Premier PM-203 Digital Microwave 20L – White,7630,0,Flash Sales
Vitron VDR170DS 170 Liters Double Door Fridge - Silver Hairline,32850,27,Flash Sales
"Vitron 43"" Inch FHD Frameless Smart Android TV INBUILT DECODER+FREE Bracket+Extension",24199,19,Flash Sales
"Vitron 43"" Inch FHD Frameless Smart Android TV 8GBROM+FreeTVGuard+Extension",24440,19,Flash Sales
"Vitron 3200S,32"" Inch TV Framelss Smart Android TV,NetflixYoutube+FREE TVGuard+Bracket",15690,16,Flash Sales
Hikers 43'' Inch Frameless Android Smart FHD LED TV - Black,20999,33,Flash Sales
"Vitron HTC3200S,32""Inch Frameless Smart Android TV NetflixYoutube+FREE TVGuard+Bracket",15599,22,Flash Sales
"Freeyond F9,3GB+128GB,6.52"" 4G Smartphone,13.0MP 5000mAh, Dual SIM Android Phones",13200,47,Flash Sales
"Freeyond F9,4GB+64GB,6.52"" 4G Smartphone,13.0MP 5000mAh, Dual SIM Android Phones,Grey",12400,41,Flash Sales
Premier PM-120 2L Kettle- Blue,1090,0,Flash Sales
"XIAOMI  Redmi 12, 6.79'', 8GB RAM+ 128GB ROM, 50MP, 5000mAh, Dual Sim - Midnight Black",24499,16,Flash Sales
"Vitron VDR128DS, 125 Liters Double Door Fridge - Silver Hairline",30999,0,Flash Sales
"Infinix Hot 30i, 6.56"", 4GB RAM, 128GB, 5000mAh, (DUAL SIM), 4G -  Diamond White",15849,28,Flash Sales
"Roch RMW-20PX9-B (B) Microwave Oven, 700W, 20L - Black",7899,39,Flash Sales
"Amtec 32R1,32"" Inch Smart TV 1GB DDR,8GB RAM,4-CORE LED TV",13265,30,Flash Sales
Wlisth Men's Watch Fashion Stainless Steel Quartz Watch,1350,45,Flash Sales
Soko Soko Wheat flour - 2Kg,205,2,Flash Sales
Hisense 2.1CH SOUNDBAR WITH WIRELESS SUBWOOFER,16880,27,Flash Sales
"TCL 43S5400 S Series, 43"" Full HD Smart TV - Black",31599,21,Flash Sales
"HP Refurbished Elitebook 820  Core  I5, 8GB RAM 500GB  HDD -12.5"", Black",19683,21,Flash Sales
Foldable Aluminum Laptop Stand Desktop Laptop Stand - Silver,890,52,Flash Sales
"Vitron 4388FS,43"" Inch FRAMELESS Smart Android TV Netflix INBUILT DECODER+FREE BRACKET",23498,16,Flash Sales
Hisense REF094DR - 94 Liters Fridge - Silver,20730,10,Flash Sales
"Samsung Galaxy A34 5G, 6.6"", 128GB + 6GB RAM (Dual SIM), 5000mAh, Awesome Graphite",43499,13,Flash Sales
"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) - Ink Silk Blue",12249,18,Flash Sales
"XIAOMI Redmi A2+, 6.52"", 2GB+32GB, 8.0MP, 5000mAh, 4G , Dual SIM - Black",11499,23,Flash Sales
"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) - Ink Black.",12249,18,Flash Sales
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black",21520,10,Flash Sales
Hikers 50'' Inch Frameless Android Smart 4K LED TV - Black+Free WALL MOUNT,35099,30,Flash Sales
"Samsung Galaxy A14, 6.6"", 64GB + 4GB, 50MP, Dual SIM, 5000mAh, Black",20499,32,Flash Sales
Premier PM518 two burner gas cooker,3488,0,Flash Sales
"Tecno Spark 10C , 6.6"" FHD, 128GB +4GB RAM ,5000mAh, DUAL SIM, 4G - Meta Black",19999,0,Flash Sales
"Vitron 4388FS 43"" Full HD Smart Android TV Netflix Youtube +Wall Bracket +Power Guard",24399,10,Flash Sales
"Skyworth 55G3A, 55″ 4K UHD Frameless Smart Android TV – Black",52499,19,Flash Sales
"Tecno Spark 10 Pro, 6.8"", 128GB + 8GB RAM (Dual SIM), 5000mAh - Black",22199,26,Flash Sales
"Tecno Spark 10 Pro, 6.8"", 128GB + 8GB, 50MP, Dual SIM, 5000mAh - Pearl White + Smart Watch & Power Bank",22999,43,Flash Sales
"XIAOMI Redmi Note 12, 6.67'' , 8GB+256GB, 50MP, Dual Sim, 33W Fast Charge-Onyx Gray",31999,18,Flash Sales
"Nunix Cooker, 3 Gas Burners,Hot Plate, Electric Oven",24899,1,Flash Sales
"Roch RFR 175-DT-I Double Door Refrigerator, 138L -  Silver",30700,19,Flash Sales
"Tecno Spark 10 , 6.6"" FHD,128GB ROM+8GB RAM, 5000mAh,Blue",18399,26,Flash Sales
"XIAOMI Redmi 12C, 6.71'', 6GB RAM +128GB ROM, 50MP, 5000mAh, 4G, Dual Sim - Graphite Grey",18999,24,Flash Sales
"Sunnypex ALL WEATHERED -300 WATTS SOLAR FULLKIT.300WATTS SOLAR PANEL,200AH BATTERY,30A CONTROLLE,4 BULBS,10M Cable",24999,47,Flash Sales
"Ramtons RM/458 - Digital Glass Microwave, 700W - 20L -Black & Silver",10299,13,Flash Sales
"XIAOMI Redmi Note 12,6.67'',6GB+128GB, 50MP, Dual Sim, 33W Fast Charge-Ice Blue",25999,28,Flash Sales
Hisense WSBE701 7kg Twin Tub Washing Machine - White,20499,36,Flash Sales
"Vitron 4388FS 43"" Full HD Smart  TV Netflix Youtube Free Power GUARD & Wall Bracket",24399,10,Flash Sales
Fresh Fri Fresh Fri Triple Refined Vegetable Cooking Oil - 3 Litres,799,24,Flash Sales
"Vitron 4388FS 43"" Full HD Smart TV Netflix Youtube /  Wall Bracket & Power GUARD.",24399,10,Flash Sales
"Roch RFR-110D-B Double Door Fridge, 85L - Silver",21699,15,Flash Sales
"Vitron Smart 32"" Frameless Tv Htc3200s Netflix & Youtube +  Wall Bracket & Power Guard",15675,13,Flash Sales
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver",30199,40,Flash Sales
"Skyworth 43E3A, 43"" Full HD Frameless Smart Android TV – Black",27499,39,Flash Sales
Vision Plus VP8832SF - 32″ Frameless Smart Android TV,15899,24,Flash Sales
"Tecno Spark 20 ,Android 13,6.6"",128+8GB (4+4GB),50MP Camera,5000mAh,Cyber White",17899,38,Flash Sales
"XIAOMI Redmi Note 12, 6.67'' , 6GB+128GB, 50MP, Dual Sim, 33W Fast Charge-Onyx Gray",25999,28,Flash Sales
"Roch RWM-10TTR-J Semi-Automatic Washing Machine, 10kgs - White",27999,10,Flash Sales
"Vision Plus VP8832DF 32"" HD Frameless Digital LED TV - Black + FREE WALL MOUNT",12849,20,Flash Sales
Premier PM-90 Single Door Fridge – 90L,18540,6,Flash Sales
Premier Washing Machine Twin Tub 10kg Washer 6kg Dryer,27547,3,Flash Sales
Samsung Galaxy A04e 32GB ROM 3GB RAM 6.5'' 5000mAh Battery - Black,13899,31,Flash Sales
"Vitron 50"" Frameless Bluetooth 4k UHD Android TV, 1.5GB RAM, 8GB ROM, FREE TV Guard",37999,24,Flash Sales
Premier PRH004 Quartz Heat With 4 Heat Settings - 2000W,4399,0,Flash Sales
Nexus NX IR-DS Electric Dry And Spray Iron Box - Blue,880,4,Flash Sales
Roch RGC-203 Gas Burners Stove - Silver,1799,5,Flash Sales
"Infinix Smart 8, 6.6"", 128GB + 4GB RAM, 5000mAh, 4G (Dual SIM) - Timber Black",15499,14,Flash Sales
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L - Inox,26799,3,Flash Sales
"Infinix Smart 8, 6.6"", 128GB + 4GB RAM, 5000mAh, 4G (Dual SIM), Shinny Gold",15499,14,Flash Sales
"XIAOMI Redmi 12C, 6.71'' ,3GB+64GB, 50MP, 5000mAh, 4G, Dual Sim - Ocean Blue",14499,19,Flash Sales
"Nexus NX IR-DST Electric Dry, Steam Iron Box, 1300W - Green",999,3,Flash Sales
Ramtons RM/399-corded Electric Kettle 17 Ltrs- White,1650,0,Flash Sales
Ramtons RF/171 - 2 Door Direct Cool Fridge - 128 Litres - Mar Silver,35947,0,Flash Sales
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black,12433,0,Flash Sales
Ramtons RM/672 - 20lt Manual Microwave - Black,10160,0,Flash Sales
Ramtons RF/356- 50*50 4gas Cooker,27994,0,Flash Sales
Ramtons RM/609-cordless Electric Kettle 17 Litres- Black & Red,1858,0,Flash Sales
"Ramtons RF/173, 2 Door Direct Cool Fridge, 128 Litres - Silver",36415,0,Flash Sales
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Litres - Silver,45316,0,Flash Sales
Ramtons RM/591- 3lt Cordless Kettle,2637,0,Flash Sales
Garnier Anti-Blemish Charcoal Serum With AHA + BHA & Niacinamide For Acne Prone Skin,1750,0,Top Deals | Deals up to 40% Off
Garnier Even & Matte Vitamin C Booster Serum 30ml.,1750,0,Top Deals | Deals up to 40% Off
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black",21520,10,Top Deals | Deals up to 40% Off
Jikokoa Xtra - Black,2999,25,Top Deals | Deals up to 40% Off
Hikers 32'' Digital Frameless HD LED TV-Black,10999,42,Top Deals | Deals up to 40% Off
"Vitron V527 - 2.1 CH Multimedia Speaker, BT/USB/SD/FM - 9000W",5599,26,Top Deals | Deals up to 40% Off
Nunix R5 Hot & Normal Free Standing Water Dispenser - White,4294,1,Top Deals | Deals up to 40% Off
"Vitron HTC3200S 32"" Smart Frameless Android LED TV",13462,25,Top Deals | Deals up to 40% Off
Hikers 43'' Inch Frameless Android Smart FHD LED TV - Black,20999,33,Top Deals | Deals up to 40% Off
AILYONS ELP2404K 2.1CH SubWoofer Home Theatrer Multi Media Speaker System,2999,27,Top Deals | Deals up to 40% Off
AILYONS AFK-112 Water Dispenser Hot Cold And Normal With Storage Cabinet,6499,24,Top Deals | Deals up to 40% Off
"Skyworth 43E3A, 43"" Full HD Frameless Smart Android TV – Black",27499,39,Top Deals | Deals up to 40% Off
Fashion 6Pcs Soft Cotton Brief Men's Boxers – Waist 29-35inc,789,12,Top Deals | Deals up to 40% Off
Fashion Slipon Shoes Loafers Shoes Canvas Shoes Casual Shoes Mens Sneaker Black,759,49,Top Deals | Deals up to 40% Off
"Hisense 32"" Inch (32A4H) VIDAA OS LED Frameless Smart TV - Black",16799,22,Top Deals | Deals up to 40% Off
Fashion 2024 Mens Casual High-Top Shoes Running Sneakers - Beige,1860,48,Top Deals | Deals up to 40% Off
"TCL 43S5400 S Series, 43"" Full HD Smart TV - Black",31599,21,Top Deals | Deals up to 40% Off
HOMMY 3 Column Portable Wardrobe-Brown,2299,49,Top Deals | Deals up to 40% Off
"Vitron HTC3200S,32""Inch Frameless Smart Android TV NetflixYoutube+FREE TVGuard+Bracket",15599,22,Top Deals | Deals up to 40% Off
Fashion Shoes For Women Sneakers Ladies Shoes Sneakers,599,43,Top Deals | Deals up to 40% Off
"Roch RMW-20PX9-B (B) Microwave Oven, 700W, 20L - Black",7899,39,Top Deals | Deals up to 40% Off
Fashion Men Leather Loafers & Slip-Ons,888,46,Top Deals | Deals up to 40% Off
"VON VADZ0002K, Portable Water Dispenser - Black",959,26,Top Deals | Deals up to 40% Off
"Multicolor Duvet Blanket, Sheet, 2 Pillow Cases",2999,46,Top Deals | Deals up to 40% Off
Fashion Men's Shoes Fashion Sneakers Casual Outdoor Easywear Trendy Shoes Running Sport Sneakers,999,48,Top Deals | Deals up to 40% Off
Fashion Couple Canvas Low Top Lace-up Shoes Classic Casual Sneakers Black,999,33,Top Deals | Deals up to 40% Off
Sonar C7 Hot And Normal Water Dispenser -blue And White,3699,40,Top Deals | Deals up to 40% Off
AILYONS ELP2403K 2.1CH SubWoofer Home Theatrer Multi Media Speaker System,2899,28,Top Deals | Deals up to 40% Off
Fashion Women Shoes Ladies Shoes For Women Shoe,599,49,Top Deals | Deals up to 40% Off
"Vitron 4388-FS 43""inch FHD Frameless Smart/Android TV InbuiltDecoder/+TVGuard+Bracket",24440,19,Top Deals | Deals up to 40% Off
Fashion Sneakers Women Shoes Women's Shoes Ladies,599,48,Top Deals | Deals up to 40% Off
"Samsung Galaxy A14, 6.6"", 128GB + 4GB(Dual SIM), 5000 MAh, +CLASSY  GIFTS",26599,35,Top Deals | Deals up to 40% Off
Fashion 6Pcs Pure Cotton Checked Men's Boxers – Multicolor,1199,36,Top Deals | Deals up to 40% Off
Fashion Ladies Sneaker Shoes Causal Shoes Buy A Size Larger Than Usual White,1050,30,Top Deals | Deals up to 40% Off
Fashion 3PACK Pure Cotton Brief Boxers Men's Underwear,699,33,Top Deals | Deals up to 40% Off
Fashion Elastic Belt Corset Tummy Shaper,489,24,Top Deals | Deals up to 40% Off
Fashion 2024 New Men's Outdoor Casual Trendy Sports Shoes - White,1599,46,Top Deals | Deals up to 40% Off
Fashion Women's Shoes Sneakers Women Shoes Ladies,599,43,Top Deals | Deals up to 40% Off
Fashion 2 Piece Men's T-Shirt & Shorts Set,1100,47,Top Deals | Deals up to 40% Off
Waanzilish Mens Sneakers Shoes Outdoor Hiking Shoes Non-slip Sports Shoes Breathable Blue,1100,27,Top Deals | Deals up to 40% Off
Fashion Sneakers Women Shoes Women's Shoes Ladies,549,47,Top Deals | Deals up to 40% Off
Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver,18599,19,Top Deals | Deals up to 40% Off
"Vitron 4068, 40"" Smart Android TV, Netflix, Youtube - Black",18195,2,Top Deals | Deals up to 40% Off
HOMMY Portable Wardrobe 3 Column - Grey,2499,38,Top Deals | Deals up to 40% Off
5*6- Metallic Stands Mosquito Net,1330,0,Top Deals | Deals up to 40% Off
"Vitron 4388FS 43"" Full HD Smart TV Netflix Youtube /  Wall Bracket & Power GUARD.",24399,10,Top Deals | Deals up to 40% Off
Fashion Men's Shoes Loafers Classic Men's Casual Shoes Canvas Loafers Slip-On Shoes,694,50,Top Deals | Deals up to 40% Off
Fashion Men's Formal Casual Peplum Shoes - White,1179,45,Top Deals | Deals up to 40% Off
"6pcs Mixed Assorted Colours, Llight Cotton Fabric Waist 28-32 Inches 28-32 Inches",599,33,Top Deals | Deals up to 40% Off
Fashion Men Shoes Sneakers Sport Shoes Casual Shoes Outdoor Shoes Running Shoes,1099,44,Top Deals | Deals up to 40% Off
"Vitron 3200S,32"" Inch Smart Android TV,NetflixYoutube, Appstore+FREE Extension+BRACKET",15399,23,Top Deals | Deals up to 40% Off
HOMMY Maroon Portable Wardrobe 3 Column - Maroon,2299,43,Top Deals | Deals up to 40% Off
Hikers KE-MOW20LD-Digital Microwave Oven – 20 Litres –700W- White,7699,45,Top Deals | Deals up to 40% Off
"Vitron 3200S,32"" Inch TV Framelss Smart Android TV,NetflixYoutube+FREE TVGuard+Bracket",15690,16,Top Deals | Deals up to 40% Off
Fashion 3PCs Soft Cotton Stretch Ladies Stripped Tight,989,38,Top Deals | Deals up to 40% Off
Mosquito Net With Metallic Stand 4 By 6 - Purple,1330,0,Top Deals | Deals up to 40% Off
Fashion 6-Pack Men's Cotton Underwear Boxers - ASSORTED,1299,13,Top Deals | Deals up to 40% Off
Superfoam Morning Glory Medium Density Quilted  -Grey & Blue,14737,0,Top Deals | Deals up to 40% Off
Fashion Stylish Mock Neck Ribbed Bodycon Dress(Hips 36-44inches Fit),579,43,Top Deals | Deals up to 40% Off
Fashion Ladies Official Long Turkey Dresses Women Clothes - Black,950,41,Top Deals | Deals up to 40% Off
Fashion Men Trousers Pants Casual Track Pants Summer Plus Size Joggers Men's Clothing,899,24,Top Deals | Deals up to 40% Off
Fashion Women's Office Floral Print Sleeve Long Grown Casual Dresses Party,1050,30,Top Deals | Deals up to 40% Off
Fashion Men's Fashion Casual Sneakers - Black,1229,53,Top Deals | Deals up to 40% Off
"Vitron 4388FS,43"" Inch FRAMELESS Smart Android TV Netflix INBUILT DECODER+FREE BRACKET",23498,16,Top Deals | Deals up to 40% Off
Fashion Women Shoes Ladies Shoes Sneakers Women Shoes,539,54,Top Deals | Deals up to 40% Off
Fashion Men's Color Stitching Polos Shirts Round Neck Short Sleeve T-shirt Business,706,49,Top Deals | Deals up to 40% Off
Fashion Men's Formal Casual Shoes - Brown,1299,49,Top Deals | Deals up to 40% Off
"Oraimo Smartwatch Lite  1.69'' TFT With Call & Message Reminder, 61 Sport Modes-Black",4500,0,Top Deals | Deals up to 40% Off
Fashion 4PCS Hottest Desire Patterned Seamless Hipster Panties,695,31,Top Deals | Deals up to 40% Off
"Vision Plus VP8832DF 32"" HD Frameless Digital LED TV - Black + FREE WALL MOUNT",12849,20,Top Deals | Deals up to 40% Off
Hisense WSBE701 7kg Twin Tub Washing Machine - White,20499,36,Top Deals | Deals up to 40% Off
